id,BRAND,PURPOSE,OPERATING_SYSTEM,YEAR,PROCESSOR_TYPE,AMD_MODEL,INTEL_MODEL,QUALCOMM_MODEL,GRAPHICS_NUMBER,GRAPHICS_TYPE,GRAPHICS_BRAND,NVIDIA_GRAPHICS,AMD_GRAPHICS,INTEL_GRAPHICS,DRIVE_NUMBER,DRIVE_TYPE,CAPACITY,RAM_NUMBER,RAM_TYPE,RAM_CAPACITY,SCREEN_RESOLUTION,SCREEN_CONDITION,KEYBOARD_LAYOUT,KEYBOARD_CONDITION,LAPTOP_POWER_STATUS,LAPTOP_CHARGER,LAPTOP_USB,LAN_PORT,WIFI_CONDITION,BLUETOOTH_CONDITION
218,,,,,,E2-3800 with Radeon™ HD 8280,Celeron J6412,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,E2-3000 with Radeon™ HD 8280,Celeron J6413,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,E1-7010 with Radeon™ R2 Graphics,Celeron J4025,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,E1-6010 with Radeon™ R2 Graphics,Celeron J4125,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,E1-2500 with Radeon™ HD 8240,Celeron J3355E,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,E1-2200 with Radeon™ HD 8210,Celeron J3455E,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,E1-2100 with Radeon™ HD 8210,Celeron J4005,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,TL-64,Celeron J4105,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,TL-60,Celeron J3355,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,TL-56,Celeron J3455,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,TL-52,Celeron J3060,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,AMD Ryzen™ 5 PRO 7545U,Celeron J3160,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,AMD Ryzen™ 9 PRO 7940HS,Celeron J1800,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,AMD Ryzen™ 7 PRO 7840HS,Celeron J1900,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,AMD Ryzen™ 7 PRO 7840U,Celeron J1750,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,AMD Ryzen™ 5 PRO 7540U,Celeron J1850,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,AMD Ryzen™ 5 PRO 7640HS,Celeron N4500,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,AMD Ryzen™ 5 PRO 7640U,Celeron N4505,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,A10 Micro-6700T with Radeon™ R6 Graphics,Celeron N5100,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,A4 Micro-6400T with Radeon™ R3 Graphics,Celeron N5105,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,A4-5100 with Radeon™ HD 8330,Celeron N6211,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,A4-5000 with Radeon™ HD 8330,Celeron N4020,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,E1 Micro-6200T with Radeon™ R2 Graphics,Celeron N4120,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,Celeron N3350E,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,Celeron N4000,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,Celeron N4100,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,Celeron N3350,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,Celeron N3450,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,Celeron N3010,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,Celeron N3060,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,Celeron N3160,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,Celeron N3000,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,Celeron N3050,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,Celeron N3150,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,Celeron N2808,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,Celeron N2840,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,Celeron N2940,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,Celeron N2807,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,Celeron N2830,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,Celeron N2930,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,Celeron N2806,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,Celeron N2815,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,Celeron N2820,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,Celeron N2920,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,Celeron N2805,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,Celeron N2810,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,Celeron N2910,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,Celeron 7305L,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,Celeron 7305E,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,Celeron 7300,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,Celeron 7305,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,Celeron 6600HE,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,Celeron 6305,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,Celeron 6305E,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,Celeron 5305U,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,Celeron 5205U,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,Celeron 4305U,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,Celeron 4205U,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,Celeron 4305UE,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,Celeron 3867U,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,Celeron 3965Y,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,Celeron 3865U,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,Celeron 3965U,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,Celeron 3855U,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,Celeron 3955U,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,Celeron 3215U,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,Celeron 3765U,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,Celeron 3205U,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,Celeron 3775U,,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,Celeron 2970M,,,,,,,,,,,,,,,,,,,,,,,
288,,,,,,,Celeron 2000E,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,Celeron 2002E,,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,Celeron 2957U,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,Celeron 2961Y,,,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,Celeron 2981U,,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,Celeron 2950M,,,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,Celeron 2955U,,,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,Celeron 2980U,,,,,,,,,,,,,,,,,,,,,,,
296,,,,,,,Celeron 1005M,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,Celeron 1017U,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,Celeron 1019Y,,,,,,,,,,,,,,,,,,,,,,,
299,,,,,,,Celeron 1000M,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,Celeron 1007U,,,,,,,,,,,,,,,,,,,,,,,
301,,,,,,,Celeron 1020E,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,Celeron 1020M,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,Celeron 1037U,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,Celeron 1047UE,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,Celeron G470,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,Celeron 927UE,,,,,,,,,,,,,,,,,,,,,,,
307,,,,,,,Celeron 887,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,Celeron B830,,,,,,,,,,,,,,,,,,,,,,,
309,,,,,,,Celeron G465,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,Celeron G550T,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,Celeron G555,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,Celeron 807,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,Celeron 877,,,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,Celeron B820,,,,,,,,,,,,,,,,,,,,,,,
315,,,,,,,Celeron G540T,,,,,,,,,,,,,,,,,,,,,,,
316,,,,,,,Celeron G550,,,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,Celeron 725C,,,,,,,,,,,,,,,,,,,,,,,
318,,,,,,,Celeron 797,,,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,Celeron 867,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,Celeron B720,,,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,Celeron B815,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,Celeron G460,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,Celeron 807UE,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,Celeron B840,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,Celeron G440,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,Celeron G530,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,Celeron G530T,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,Celeron G540,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,Celeron 787,,,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,Celeron 827E,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,Celeron B710,,,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,Celeron 857,,,,,,,,,,,,,,,,,,,,,,,
333,,,,,,,Celeron 847,,,,,,,,,,,,,,,,,,,,,,,
334,,,,,,,Celeron 847E,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,Celeron B800,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,Celeron B810E,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,Celeron B810,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,Celeron 925,,,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,Celeron U3600,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,Celeron ULV 763,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,Celeron E3500,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,Celeron P4600,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,,,Celeron T3500,,,,,,,,,,,,,,,,,,,,,,,
344,,,,,,,Celeron U3400,,,,,,,,,,,,,,,,,,,,,,,
345,,,,,,,Celeron P4500,,,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,Celeron E3400,,,,,,,,,,,,,,,,,,,,,,,
347,,,,,,,Celeron P1053,,,,,,,,,,,,,,,,,,,,,,,
348,,,,,,,Celeron P4505,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,Celeron T3300,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,Celeron U3405,,,,,,,,,,,,,,,,,,,,,,,
351,,,,,,,Celeron M ULV 743,,,,,,,,,,,,,,,,,,,,,,,
352,,,,,,,Celeron SU2300,,,,,,,,,,,,,,,,,,,,,,,
353,,,,,,,Celeron E3200,,,,,,,,,,,,,,,,,,,,,,,
354,,,,,,,Celeron E3300,,,,,,,,,,,,,,,,,,,,,,,
355,,,,,,,Celeron T3100,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,Celeron ULV 573,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,Celeron E1600,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,Celeron 900,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,Celeron T1600,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,Celeron T1700,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,Celeron E1500,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,Celeron M ULV 722,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,Celeron 450,,,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,Celeron M ULV 723,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,Celeron 575,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,Celeron 585,,,,,,,,,,,,,,,,,,,,,,,
367,,,,,,,Celeron E1400,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,Celeron 570,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,Celeron E1200,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,Celeron 560,,,,,,,,,,,,,,,,,,,,,,,
371,,,,,,,Celeron 220,,,,,,,,,,,,,,,,,,,,,,,
372,,,,,,,Celeron M ULV 523,,,,,,,,,,,,,,,,,,,,,,,
373,,,,,,,Celeron 540,,,,,,,,,,,,,,,,,,,,,,,
374,,,,,,,Celeron 420,,,,,,,,,,,,,,,,,,,,,,,
375,,,,,,,Celeron 430,,,,,,,,,,,,,,,,,,,,,,,
376,,,,,,,Celeron 440,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,Celeron M 530,,,,,,,,,,,,,,,,,,,,,,,
378,,,,,,,Celeron 530,,,,,,,,,,,,,,,,,,,,,,,
379,,,,,,,"Celeron 1.83 GHz, 1M Cache, 667 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,Celeron D 365,,,,,,,,,,,,,,,,,,,,,,,
381,,,,,,,Celeron M 520,,,,,,,,,,,,,,,,,,,,,,,
382,,,,,,,"Celeron 1.66 GHz, 1M Cache, 667 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
383,,,,,,,Celeron D 347,,,,,,,,,,,,,,,,,,,,,,,
384,,,,,,,Celeron D 360,,,,,,,,,,,,,,,,,,,,,,,
385,,,,,,,Celeron M 440,,,,,,,,,,,,,,,,,,,,,,,
386,,,,,,,Celeron 550,,,,,,,,,,,,,,,,,,,,,,,
387,,,,,,,Celeron D 352,,,,,,,,,,,,,,,,,,,,,,,
388,,,,,,,Celeron D 356,,,,,,,,,,,,,,,,,,,,,,,
389,,,,,,,Celeron M ULV 423,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,Celeron D 310,,,,,,,,,,,,,,,,,,,,,,,
391,,,,,,,Celeron D 355,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,Celeron D 341,,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,Celeron D 350,,,,,,,,,,,,,,,,,,,,,,,
394,,,,,,,Celeron D 350/350J,,,,,,,,,,,,,,,,,,,,,,,
395,,,,,,,Celeron D 351,,,,,,,,,,,,,,,,,,,,,,,
396,,,,,,,Celeron M 370,,,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,Celeron M ULV 373,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,Celeron D 325J,,,,,,,,,,,,,,,,,,,,,,,
399,,,,,,,Celeron D 330,,,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,Celeron D 330J,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,Celeron D 335J,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,,,Celeron D 340,,,,,,,,,,,,,,,,,,,,,,,
403,,,,,,,Celeron D 340J,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,Celeron D 345,,,,,,,,,,,,,,,,,,,,,,,
405,,,,,,,Celeron D 345J,,,,,,,,,,,,,,,,,,,,,,,
406,,,,,,,Celeron D 315,,,,,,,,,,,,,,,,,,,,,,,
407,,,,,,,Celeron D 335,,,,,,,,,,,,,,,,,,,,,,,
408,,,,,,,"Mobile Celeron 1.20 GHz, 256K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
409,,,,,,,"Mobile Celeron 1.40 GHz, 256K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,"Mobile Celeron 1.50 GHz, 256K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
411,,,,,,,"Mobile Celeron 1.60 GHz, 256K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
412,,,,,,,Celeron D 315/315J,,,,,,,,,,,,,,,,,,,,,,,
413,,,,,,,Celeron D 320,,,,,,,,,,,,,,,,,,,,,,,
414,,,,,,,Celeron D 325,,,,,,,,,,,,,,,,,,,,,,,
415,,,,,,,Celeron D 325/325J,,,,,,,,,,,,,,,,,,,,,,,
416,,,,,,,Celeron D 326,,,,,,,,,,,,,,,,,,,,,,,
417,,,,,,,Celeron D 330/330J,,,,,,,,,,,,,,,,,,,,,,,
418,,,,,,,Celeron D 335/335J,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,Celeron M 320,,,,,,,,,,,,,,,,,,,,,,,
420,,,,,,,"Celeron 2.50 GHz, 128K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,"Celeron M 600 MHz, 512K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,"Celeron 2.00 GHz, 128K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
423,,,,,,,"Celeron 1.70 GHz, 128K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
424,,,,,,,"Mobile Celeron 2.20 GHz, 256K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
425,,,,,,,"Mobile Celeron 2.40 GHz, 256K Cache, 400 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
426,,,,,,,"Mobile Celeron LV 650 MHz, 256K Cache, 100 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
427,,,,,,,"Celeron 566 MHz, 128K Cache, 66 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
428,,,,,,,"Celeron 733 MHz, 128K Cache, 66 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
429,,,,,,,"Celeron 850 MHz, 128K Cache, 100 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,"Celeron 433 MHz, 128K Cache, 66 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,"Celeron 300 MHz, 128K Cache, 66 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
432,,,,,,,"Celeron 366 MHz, 128K Cache, 66 MHz FSB",,,,,,,,,,,,,,,,,,,,,,,
433,,,,,,,Core Ultra 5 125H,,,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,Core Ultra 5 125U,,,,,,,,,,,,,,,,,,,,,,,
435,,,,,,,Core Ultra 5 134U,,,,,,,,,,,,,,,,,,,,,,,
436,,,,,,,Core Ultra 5 135H,,,,,,,,,,,,,,,,,,,,,,,
437,,,,,,,Core Ultra 5 135U,,,,,,,,,,,,,,,,,,,,,,,
438,,,,,,,Core Ultra 7 155H,,,,,,,,,,,,,,,,,,,,,,,
439,,,,,,,Core Ultra 7 155U,,,,,,,,,,,,,,,,,,,,,,,
440,,,,,,,Core Ultra 7 164U,,,,,,,,,,,,,,,,,,,,,,,
441,,,,,,,Core Ultra 7 165H,,,,,,,,,,,,,,,,,,,,,,,
442,,,,,,,Core Ultra 7 165U,,,,,,,,,,,,,,,,,,,,,,,
443,,,,,,,Core Ultra 9 185H,,,,,,,,,,,,,,,,,,,,,,,
444,,,,,,,Pentium Gold 8500,,,,,,,,,,,,,,,,,,,,,,,
445,,,,,,,Pentium Gold 8505,,,,,,,,,,,,,,,,,,,,,,,
446,,,,,,,Pentium Gold 8505 (with IPU),,,,,,,,,,,,,,,,,,,,,,,
447,,,,,,,Pentium Gold G7400,,,,,,,,,,,,,,,,,,,,,,,
448,,,,,,,Pentium Gold G7400E,,,,,,,,,,,,,,,,,,,,,,,
449,,,,,,,Pentium Gold G7400T,,,,,,,,,,,,,,,,,,,,,,,
450,,,,,,,Pentium Gold G7400TE,,,,,,,,,,,,,,,,,,,,,,,
451,,,,,,,Pentium Gold G6405,,,,,,,,,,,,,,,,,,,,,,,
452,,,,,,,Pentium Gold G6405T,,,,,,,,,,,,,,,,,,,,,,,
453,,,,,,,Pentium Gold G6505,,,,,,,,,,,,,,,,,,,,,,,
454,,,,,,,Pentium Gold G6505T,,,,,,,,,,,,,,,,,,,,,,,
455,,,,,,,Pentium Gold G6605,,,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,Pentium Gold 6500Y,,,,,,,,,,,,,,,,,,,,,,,
457,,,,,,,Pentium Gold 7505,,,,,,,,,,,,,,,,,,,,,,,
458,,,,,,,Pentium Gold G6400,,,,,,,,,,,,,,,,,,,,,,,
459,,,,,,,Pentium Gold G6400E,,,,,,,,,,,,,,,,,,,,,,,
460,,,,,,,Pentium Gold G6400T,,,,,,,,,,,,,,,,,,,,,,,
461,,,,,,,Pentium Gold G6400TE,,,,,,,,,,,,,,,,,,,,,,,
462,,,,,,,Pentium Gold G6500,,,,,,,,,,,,,,,,,,,,,,,
463,,,,,,,Pentium Gold G6500T,,,,,,,,,,,,,,,,,,,,,,,
464,,,,,,,Pentium Gold G6600,,,,,,,,,,,,,,,,,,,,,,,
465,,,,,,,Pentium Gold 6405U,,,,,,,,,,,,,,,,,,,,,,,
466,,,,,,,Pentium Gold G5420,,,,,,,,,,,,,,,,,,,,,,,
467,,,,,,,Pentium Gold G5420T,,,,,,,,,,,,,,,,,,,,,,,
468,,,,,,,Pentium Gold G5600T,,,,,,,,,,,,,,,,,,,,,,,
469,,,,,,,Pentium Gold G5620,,,,,,,,,,,,,,,,,,,,,,,
470,,,,,,,Pentium Gold 5405U,,,,,,,,,,,,,,,,,,,,,,,
471,,,,,,,Pentium Gold 4417U,,,,,,,,,,,,,,,,,,,,,,,
472,,,,,,,Pentium Gold 4425Y,,,,,,,,,,,,,,,,,,,,,,,
473,,,,,,,Pentium Gold G5400,,,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,Pentium Gold G5400T,,,,,,,,,,,,,,,,,,,,,,,
475,,,,,,,Pentium Gold G5500,,,,,,,,,,,,,,,,,,,,,,,
476,,,,,,,Pentium Gold G5500T,,,,,,,,,,,,,,,,,,,,,,,
477,,,,,,,Pentium Gold G5600,,,,,,,,,,,,,,,,,,,,,,,
478,,,,,,,Pentium Gold 4415Y,,,,,,,,,,,,,,,,,,,,,,,
479,,,,,,,Pentium Gold 4410Y,,,,,,,,,,,,,,,,,,,,,,,
480,,,,,,,Pentium Gold 4415U,,,,,,,,,,,,,,,,,,,,,,,
481,,,,,,,Pentium Silver N6000,,,,,,,,,,,,,,,,,,,,,,,
482,,,,,,,Pentium Silver N6005,,,,,,,,,,,,,,,,,,,,,,,
483,,,,,,,Pentium Silver J5040,,,,,,,,,,,,,,,,,,,,,,,
484,,,,,,,Pentium Silver N5030,,,,,,,,,,,,,,,,,,,,,,,
485,,,,,,,Pentium Silver J5005,,,,,,,,,,,,,,,,,,,,,,,
486,,,,,,,Pentium Silver N5000,,,,,,,,,,,,,,,,,,,,,,,
487,,,,,,,Pentium D1519,,,,,,,,,,,,,,,,,,,,,,,
488,,,,,,,Pentium D1507,,,,,,,,,,,,,,,,,,,,,,,
489,,,,,,,Pentium D1508,,,,,,,,,,,,,,,,,,,,,,,
490,,,,,,,Pentium D1509,,,,,,,,,,,,,,,,,,,,,,,
491,,,,,,,Pentium D1517,,,,,,,,,,,,,,,,,,,,,,,
492,,,,,,,Pentium G4560,,,,,,,,,,,,,,,,,,,,,,,
493,,,,,,,Pentium G4560T,,,,,,,,,,,,,,,,,,,,,,,
494,,,,,,,Pentium G4600,,,,,,,,,,,,,,,,,,,,,,,
495,,,,,,,Pentium G4600T,,,,,,,,,,,,,,,,,,,,,,,
496,,,,,,,Pentium G4620,,,,,,,,,,,,,,,,,,,,,,,
497,,,,,,,Pentium G4400TE,,,,,,,,,,,,,,,,,,,,,,,
498,,,,,,,Pentium G4400,,,,,,,,,,,,,,,,,,,,,,,
499,,,,,,,Pentium G4400T,,,,,,,,,,,,,,,,,,,,,,,
500,,,,,,,Pentium G4500,,,,,,,,,,,,,,,,,,,,,,,
501,,,,,,,Pentium G4500T,,,,,,,,,,,,,,,,,,,,,,,
502,,,,,,,Pentium G4520,,,,,,,,,,,,,,,,,,,,,,,
503,,,,,,,Pentium G3260,,,,,,,,,,,,,,,,,,,,,,,
504,,,,,,,Pentium G3260T,,,,,,,,,,,,,,,,,,,,,,,
505,,,,,,,Pentium G3460T,,,,,,,,,,,,,,,,,,,,,,,
506,,,,,,,Pentium G3470,,,,,,,,,,,,,,,,,,,,,,,
507,,,,,,,Pentium G3250,,,,,,,,,,,,,,,,,,,,,,,
508,,,,,,,Pentium G3250T,,,,,,,,,,,,,,,,,,,,,,,
509,,,,,,,Pentium G3450T,,,,,,,,,,,,,,,,,,,,,,,
510,,,,,,,Pentium G3460,,,,,,,,,,,,,,,,,,,,,,,
511,,,,,,,Pentium G3258,,,,,,,,,,,,,,,,,,,,,,,
512,,,,,,,Pentium G3240,,,,,,,,,,,,,,,,,,,,,,,
513,,,,,,,Pentium G3240T,,,,,,,,,,,,,,,,,,,,,,,
514,,,,,,,Pentium G3440,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,Pentium G3440T,,,,,,,,,,,,,,,,,,,,,,,
516,,,,,,,Pentium G3450,,,,,,,,,,,,,,,,,,,,,,,
517,,,,,,,Pentium G3220,,,,,,,,,,,,,,,,,,,,,,,
518,,,,,,,Pentium G3220T,,,,,,,,,,,,,,,,,,,,,,,
519,,,,,,,Pentium G3320TE,,,,,,,,,,,,,,,,,,,,,,,
520,,,,,,,Pentium G3420,,,,,,,,,,,,,,,,,,,,,,,
521,,,,,,,Pentium G3420T,,,,,,,,,,,,,,,,,,,,,,,
522,,,,,,,Pentium G3430,,,,,,,,,,,,,,,,,,,,,,,
523,,,,,,,Pentium G2030,,,,,,,,,,,,,,,,,,,,,,,
524,,,,,,,Pentium G2030T,,,,,,,,,,,,,,,,,,,,,,,
525,,,,,,,Pentium G2120T,,,,,,,,,,,,,,,,,,,,,,,
526,,,,,,,Pentium G2140,,,,,,,,,,,,,,,,,,,,,,,
527,,,,,,,Pentium G2010,,,,,,,,,,,,,,,,,,,,,,,
528,,,,,,,Pentium G2020,,,,,,,,,,,,,,,,,,,,,,,
529,,,,,,,Pentium G2020T,,,,,,,,,,,,,,,,,,,,,,,
530,,,,,,,Pentium G2130,,,,,,,,,,,,,,,,,,,,,,,
531,,,,,,,Pentium G2100T,,,,,,,,,,,,,,,,,,,,,,,
532,,,,,,,Pentium G2120,,,,,,,,,,,,,,,,,,,,,,,
533,,,,,,,Pentium J6426,,,,,,,,,,,,,,,,,,,,,,,
534,,,,,,,Pentium J4205,,,,,,,,,,,,,,,,,,,,,,,
535,,,,,,,Pentium J3710,,,,,,,,,,,,,,,,,,,,,,,
536,,,,,,,Pentium J2900,,,,,,,,,,,,,,,,,,,,,,,
537,,,,,,,Pentium J2850,,,,,,,,,,,,,,,,,,,,,,,
538,,,,,,,Pentium N6415,,,,,,,,,,,,,,,,,,,,,,,
